CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
! HEAL UR TECH LTD,14413082,,,5 BRIDGE STREET,,GUILDFORD,,ENGLAND,GU1 4RY,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,12/10/2022,31,10,12/07/2024,,NO ACCOUNTS FILED,09/11/2023,,0,0,0,0,33140 - Repair of electrical equipment,47421 - Retail sale of mobile telephones,,,0,0,http://business.data.gov.uk/id/company/14413082,,,,,,,,,,,,,,,,,,,,,25/10/2023,
! LTD,08209948,,,9 PRINCES SQUARE,,HARROGATE,,ENGLAND,HG1 1ND,Private Limited Company,Active,United Kingdom,,11/09/2012,30,9,30/06/2024,30/09/2022,DORMANT,09/10/2016,11/09/2015,0,0,0,0,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id/company/08209948,,,,,,,,,,,,,,,,,,,,,25/09/2023,11/09/2022
!? LTD,11399177,,,THE STUDIO HATHERLOW HOUSE,HATHERLOW,ROMILEY,,UNITED KINGDOM,SK6 3DY,Private Limited Company,Active,United Kingdom,,05/06/2018,30,6,31/03/2024,30/06/2022,TOTAL EXEMPTION FULL,03/07/2019,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/11399177,,,,,,,,,,,,,,,,,,,,,19/06/2024,05/06/2023
!BIG IMPACT GRAPHICS LIMITED,11743365,,,372 OLD STREET,335 ROSDEN HOUSE,LONDON,,UNITED KINGDOM,EC1V 9LT,Private Limited Company,Active,United Kingdom,,28/12/2018,31,12,30/09/2024,31/12/2022,DORMANT,25/01/2020,,0,0,0,0,18129 - Printing n.e.c.,59112 - Video production activities,63120 - Web portals,74201 - Portrait photographic activities,0,0,http://business.data.gov.uk/id/company/11743365,,,,,,,,,,,,,,,,,,,,,10/01/2024,27/12/2022
!GOBERUB LTD,13404790,,,13 SOUTHMILL ROAD,,BISHOP'S STORTFORD,HERTFORDSHIRE,ENGLAND,CM23 3FR,Private Limited Company,Active,United Kingdom,,17/05/2021,30,9,30/06/2024,30/09/2022,MICRO ENTITY,14/06/2022,,0,0,0,0,62020 - Information technology consultancy activities,70229 - Management consultancy activities other than financial management,79110 - Travel agency activities,,0,0,http://business.data.gov.uk/id/company/13404790,,,,,,,,,,,,,,,,,,,,,29/05/2024,15/05/2023
!NFLECTION ADVISORY LIMITED,15073164,,,52 MEADWAY,,BARNET,,UNITED KINGDOM,EN5 5LB,Private Limited Company,Active,United Kingdom,,15/08/2023,31,8,15/05/2025,,NO ACCOUNTS FILED,12/09/2024,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/15073164,,,,,,,,,,,,,,,,,,,,,28/08/2024,
!NFOGENIE LTD,13522064,,,71-75 SHELTON STREET,,LONDON,GREATER LONDON,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,21/07/2021,31,7,30/04/2025,31/07/2023,MICRO ENTITY,18/08/2022,,0,0,0,0,58290 - Other software publishing,,,,0,0,http://business.data.gov.uk/id/company/13522064,,,,,,,,,,,,,,,,,,,,,03/08/2024,20/07/2023
!NNOV8 LIMITED,11006939,,,OLD BARN FARM,HARTFIELD ROAD,EDENBRIDGE,,ENGLAND,TN8 5NF,Private Limited Company,Active,United Kingdom,,11/10/2017,31,3,31/12/2023,31/03/2022,MICRO ENTITY,08/11/2018,,0,0,0,0,62090 - Other information technology service activities,70229 - Management consultancy activities other than financial management,,,0,0,http://business.data.gov.uk/id/company/11006939,,,,,,,,,,,,,,,,,,,,,24/10/2023,10/10/2022
!NSPIRED INVESTMENTS LTD,SC606050,,,26 POLMUIR ROAD,,ABERDEEN,,SCOTLAND,AB11 7SY,Private Limited Company,Active,United Kingdom,,22/08/2018,31,8,31/05/2024,31/08/2022,TOTAL EXEMPTION FULL,19/09/2019,,5,5,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/SC606050,,,,,,,,,,,,,,,,,,,,,12/02/2024,29/01/2023
!NSPIRED LTD,SC421617,,,26 POLMUIR ROAD,,ABERDEEN,,UNITED KINGDOM,AB11 7SY,Private Limited Company,Liquidation,United Kingdom,,11/04/2012,10,1,10/10/2023,10/01/2022,TOTAL EXEMPTION FULL,09/05/2017,11/04/2016,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/SC421617,,,,,,,,,,,,,,,,,,,,,25/04/2022,11/04/2021
!NVERTD DESIGNS LIMITED,09152972,,,2 SANDROCKS LODGE,ROCKY LANE,HAYWARDS HEATH,,ENGLAND,RH16 4RW,Private Limited Company,Active,United Kingdom,,30/07/2014,31,7,30/04/2024,31/07/2022,MICRO ENTITY,27/08/2016,30/07/2015,0,0,0,0,58190 - Other publishing activities,,,,0,0,http://business.data.gov.uk/id/company/09152972,,,,,,,,,,,,,,,,,,,,,13/08/2024,30/07/2023
!OBAC LIMITED,FC031362,,,1ST AND 2ND FLOORS ELIZABETH HOUSE,LES RUETIES BRAYES,ST PETER PORT,GUERNSEY,GUERNSEY,GY1 1EW,Other company type,Active,CHANNEL ISLANDS,,30/11/2012,31,12,,31/12/2021,FULL,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/FC031362,,,,,,,,,,,,,,,,,,,,,14/12/2016,
!OBAC UK LIMITED,07687209,,,UNIT 9   BERRY COURT FARM BRAMLEY ROAD,LITTLE LONDON,TADLEY,HAMPSHIRE,,RG26 5AT,Private Limited Company,Active,United Kingdom,,29/06/2011,29,12,29/09/2024,31/12/2022,TOTAL EXEMPTION FULL,27/07/2017,29/06/2016,1,0,0,1,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/07687209,15/07/2011,!OBAC FITTINGS LIMITED,,,,,,,,,,,,,,,,,,,13/07/2024,29/06/2023
!YOZO FASS LIMITED,02714021,,,1 VERONICA HOUSE,WICKHAM ROAD,BROCKLEY,,,SE4 1NQ,Private Limited Company,Active,United Kingdom,,12/05/1992,31,3,31/12/2023,31/03/2022,DORMANT,09/06/2017,12/05/2016,0,0,0,0,90010 - Performing arts,,,,0,0,http://business.data.gov.uk/id/company/02714021,,,,,,,,,,,,,,,,,,,,,26/05/2024,12/05/2023
""" BORA "" 2 LTD",13220580,,,26 CARMICHAEL CLOSE,WINSTANLEY ESTATE,LONDON,BATTERSEA,ENGLAND,SW11 2HS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,23/02/2021,28,2,30/11/2023,28/02/2022,MICRO ENTITY,23/03/2022,,0,0,0,0,"47820 - Retail sale via stalls and markets of textiles, clothing and footwear",,,,0,0,http://business.data.gov.uk/id/company/13220580,,,,,,,,,,,,,,,,,,,,,07/03/2024,22/02/2023
""" TRIPLE D"" PROPERTIES LIMITED",13310195,,,66 MORRIS STREET,,WEST BROMWICH,,ENGLAND,B70 7SP,Private Limited Company,Active,United Kingdom,,01/04/2021,30,4,31/01/2025,30/04/2023,UNAUDITED ABRIDGED,29/04/2022,,1,1,0,0,68209 - Other letting and operating of own or leased real estate,68320 - Management of real estate on a fee or contract basis,,,0,0,http://business.data.gov.uk/id/company/13310195,,,,,,,,,,,,,,,,,,,,,14/05/2024,30/04/2023
"""1 C O LIMITED""",03811958,,,FANE COURT,GREEN ROAD SHIPBOURNE,TONBRIDGE,KENT,,TN11 9PL,Private Limited Company,Active,United Kingdom,,22/07/1999,30,9,30/06/2024,30/09/2022,DORMANT,19/08/2016,22/07/2015,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/03811958,,,,,,,,,,,,,,,,,,,,,05/08/2024,22/07/2023
