CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
VALIANT CLEANING SERVICES(UK) LTD,11430026,,,16 THE MALTINGS,ROYDON ROAD,STANSTEAD ABBOTTS,HERTFORDSHIRE,ENGLAND,SG12 8UU,Private Limited Company,Active,United Kingdom,,25/06/2018,30,6,31/03/2024,30/06/2022,MICRO ENTITY,23/07/2019,,0,0,0,0,81299 - Other cleaning services,,,,0,0,http://business.data.gov.uk/id/company/11430026,,,,,,,,,,,,,,,,,,,,,08/07/2024,24/06/2023
VALIANT CLOTHING LIMITED,13492494,,,"27 OLD GLOUCESTER STREET, LONDON",OLD GLOUCESTER STREET,LONDON,,ENGLAND,WC1N 3AX,Private Limited Company,Active,United Kingdom,,05/07/2021,31,7,30/04/2024,31/07/2022,DORMANT,02/08/2022,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,,,,0,0,http://business.data.gov.uk/id/company/13492494,,,,,,,,,,,,,,,,,,,,,18/07/2024,04/07/2023
VALIANT COMMUNICATIONS (UK) LIMITED,05268967,,,CENTRAL HOUSE REAR OFFICE,124 HIGH STREET,HAMPTON HILL,MIDDLESEX,ENGLAND,TW12 1NS,Private Limited Company,Active,United Kingdom,,25/10/2004,31,3,31/12/2024,31/03/2023,UNAUDITED ABRIDGED,22/11/2016,25/10/2015,0,0,0,0,46520 - Wholesale of electronic and telecommunications equipment and parts,82990 - Other business support service activities n.e.c.,,,0,0,http://business.data.gov.uk/id/company/05268967,,,,,,,,,,,,,,,,,,,,,08/11/2023,25/10/2022
VALIANT COMPUTING LTD,11654995,,,WATERGATE BUILDINGS,NEW CRANE STREET,CHESTER,,UNITED KINGDOM,CH1 4JE,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,01/11/2018,30,11,31/08/2021,30/11/2019,MICRO ENTITY,29/11/2019,,0,0,0,0,62012 - Business and domestic software development,,,,0,0,http://business.data.gov.uk/id/company/11654995,,,,,,,,,,,,,,,,,,,,,14/11/2021,31/10/2020
VALIANT CONSTRUCTION GROUP LIMITED,15153045,,,1ST FLOOR 3&4 CRANMERE COURT,"LUSTLEIGH CLOSE, MATFORD BUSINESS PARK",EXETER,DEVON,UNITED KINGDOM,EX2 8PW,Private Limited Company,Active,United Kingdom,,21/09/2023,30,9,21/06/2025,,NO ACCOUNTS FILED,19/10/2024,,0,0,0,0,41100 - Development of building projects,,,,0,0,http://business.data.gov.uk/id/company/15153045,,,,,,,,,,,,,,,,,,,,,04/10/2024,
VALIANT CONSTRUCTION LTD,09726129,,,56 LEA ROAD,,SOUTHALL,MIDDLESEX,UNITED KINGDOM,UB2 5QA,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,11/08/2015,31,8,31/05/2022,31/08/2020,MICRO ENTITY,08/04/2017,11/03/2016,0,0,0,0,41202 - Construction of domestic buildings,,,,0,0,http://business.data.gov.uk/id/company/09726129,,,,,,,,,,,,,,,,,,,,,25/03/2022,11/03/2021
VALIANT CONSULTANCY LTD,09236274,,,5TH FLOOR 167-169 GREAT PORTLAND STREET,,LONDON,,ENGLAND,W1W 5PF,Private Limited Company,Active,United Kingdom,,26/09/2014,30,9,30/06/2024,30/09/2022,MICRO ENTITY,24/10/2016,26/09/2015,0,0,0,0,70221 - Financial management,70229 - Management consultancy activities other than financial management,82990 - Other business support service activities n.e.c.,,0,0,http://business.data.gov.uk/id/company/09236274,,,,,,,,,,,,,,,,,,,,,10/07/2024,26/06/2023
VALIANT CONSULTANCY SERVICES LTD,12225175,,,128 CITY ROAD,,LONDON,,UNITED KINGDOM,EC1V 2NX,Private Limited Company,Active,United Kingdom,,24/09/2019,30,9,30/06/2024,30/09/2022,MICRO ENTITY,22/10/2020,,0,0,0,0,66190 - Activities auxiliary to financial intermediation n.e.c.,66220 - Activities of insurance agents and brokers,,,0,0,http://business.data.gov.uk/id/company/12225175,,,,,,,,,,,,,,,,,,,,,07/09/2024,24/08/2023
VALIANT CONSULTING LTD,10349409,,,5 CARRWOOD PARK,SELBY ROAD,LEEDS,,ENGLAND,LS15 4LG,Private Limited Company,Active,United Kingdom,,27/08/2016,31,8,31/05/2024,31/08/2022,TOTAL EXEMPTION FULL,24/09/2017,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/10349409,,,,,,,,,,,,,,,,,,,,,09/09/2024,26/08/2023
VALIANT CONTRACT SERVICES LTD,04772518,,,33 HOPPS ROAD,KINGSWOOD BRISTOL,SOUTH GLOUCESTERSHIRE,,,BS15 9QQ,Private Limited Company,Active,United Kingdom,,21/05/2003,30,6,31/03/2024,30/06/2022,TOTAL EXEMPTION FULL,18/06/2017,21/05/2016,0,0,0,0,25990 - Manufacture of other fabricated metal products n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/04772518,26/06/2019,VALIANT ENGINEERING SERVICES LTD,,,,,,,,,,,,,,,,,,,04/06/2024,21/05/2023
