CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
SCALECOM LTD,14185740,,,38 CAREY ROAD,,WOKINGHAM,,ENGLAND,RG40 2NP,Private Limited Company,Active,United Kingdom,,21/06/2022,30,6,21/03/2024,,NO ACCOUNTS FILED,19/07/2023,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,70229 - Management consultancy activities other than financial management,,,0,0,http://business.data.gov.uk/id/company/14185740,,,,,,,,,,,,,,,,,,,,,13/07/2024,29/06/2023
SCALECRAFT LTD,14990293,,,69 MAIN STREET,,RUGBY,WARWICKSHIRE,UNITED KINGDOM,CV23 9BB,Private Limited Company,Active,United Kingdom,,09/07/2023,31,7,09/04/2025,,NO ACCOUNTS FILED,06/08/2024,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/14990293,,,,,,,,,,,,,,,,,,,,,22/07/2024,
SCALECREST LIMITED,05710358,,,ARGYLE HOUSE 3RD FLOOR NORTHSIDE,JOEL STREET,NORTHWOOD HILLS,MIDDLESEX,,HA6 1NW,Private Limited Company,Active,United Kingdom,,15/02/2006,30,3,30/12/2023,30/03/2022,TOTAL EXEMPTION FULL,26/07/2017,28/06/2016,1,0,0,1,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,0,0,http://business.data.gov.uk/id/company/05710358,,,,,,,,,,,,,,,,,,,,,23/04/2024,09/04/2023
SCALED AGILE CONSULTING LTD,14603288,,,50 PRINCES STREET,,IPSWICH,,ENGLAND,IP1 1RJ,Private Limited Company,Active,United Kingdom,,19/01/2023,31,1,19/10/2024,,NO ACCOUNTS FILED,16/02/2024,,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/14603288,,,,,,,,,,,,,,,,,,,,,15/04/2024,01/04/2023
SCALED AGILE LIMITED,14546862,,,54 54 CLIFF STREET,MEVAGISSEY,ST. AUSTELL,CORNWALL,ENGLAND,PL26 6QL,Private Limited Company,Active,United Kingdom,,18/12/2022,31,12,18/09/2024,,NO ACCOUNTS FILED,15/01/2024,,0,0,0,0,64209 - Activities of other holding companies n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14546862,,,,,,,,,,,,,,,,,,,,,31/12/2023,
SCALED AI LTD,15152854,,,71-75 SHELTON STREET,COVENT GARDEN,LONDON,,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,21/09/2023,30,9,21/06/2025,,NO ACCOUNTS FILED,19/10/2024,,0,0,0,0,70229 - Management consultancy activities other than financial management,71122 - Engineering related scientific and technical consulting activities,,,0,0,http://business.data.gov.uk/id/company/15152854,,,,,,,,,,,,,,,,,,,,,04/10/2024,
SCALED CONSULTING LTD,13828419,,,"8 GREATFORD GARDENS, GREATFORD",STAMFORD,STAMFORD,,UNITED KINGDOM,PE9 4PX,Private Limited Company,Active,United Kingdom,,05/01/2022,31,1,31/10/2024,31/01/2023,TOTAL EXEMPTION FULL,02/02/2023,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/13828419,,,,,,,,,,,,,,,,,,,,,18/01/2024,04/01/2023
SCALED DELIVERY LTD,11154900,,,70 RIBBLESDALE ROAD,,LONDON,,UNITED KINGDOM,SW16 6SE,Private Limited Company,Active,United Kingdom,,17/01/2018,31,1,31/10/2024,31/01/2023,MICRO ENTITY,14/02/2019,,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/11154900,,,,,,,,,,,,,,,,,,,,,30/01/2024,16/01/2023
SCALED DEVELOPMENT LTD,04540387,,,HAILES PITT DRUGGERS END LANE,CASTLEMORTON,MALVERN,,ENGLAND,WR13 6JD,Private Limited Company,Active,United Kingdom,,19/09/2002,30,9,30/06/2024,30/09/2022,MICRO ENTITY,17/10/2016,19/09/2015,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/04540387,30/01/2019,TOBY'S LEISURE LIMITED,16/11/2007,TOBY'S INVESTMENTS LIMITED,,,,,,,,,,,,,,,,,26/09/2024,12/09/2023
SCALED ENGINEERING LIMITED,11834537,,,38 CHURCH LANE,ESTON,MIDDLESBROUGH,,UNITED KINGDOM,TS6 9DB,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,19/02/2019,28,2,30/11/2023,28/02/2022,MICRO ENTITY,18/03/2020,,0,0,0,0,71129 - Other engineering activities,,,,0,0,http://business.data.gov.uk/id/company/11834537,,,,,,,,,,,,,,,,,,,,,03/03/2024,18/02/2023
SCALED INSIGHT LTD,07512510,,,3 EAST POINT HIGH STREET,SEAL,SEVENOAKS,KENT,,TN15 0EG,Private Limited Company,Active,United Kingdom,,01/02/2011,29,2,30/11/2023,28/02/2022,TOTAL EXEMPTION FULL,01/03/2017,01/02/2016,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/07512510,,,,,,,,,,,,,,,,,,,,,15/02/2024,01/02/2023
SCALED INSIGHTS EMEA LIMITED,11717674,,,107 KIRKGATE,,LEEDS,,ENGLAND,LS1 6DP,Private Limited Company,Active,United Kingdom,,07/12/2018,31,12,30/09/2024,31/12/2022,TOTAL EXEMPTION FULL,04/01/2020,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/11717674,,,,,,,,,,,,,,,,,,,,,20/12/2023,06/12/2022
SCALED LIMITED,09828171,,,6A ST ANDREWS COURT,WELLINGTON STREET,THAME,OXFORDSHIRE,ENGLAND,OX9 3WT,Private Limited Company,Active,United Kingdom,,16/10/2015,31,12,30/09/2024,31/12/2022,UNAUDITED ABRIDGED,13/11/2016,,1,1,0,0,22290 - Manufacture of other plastic products,,,,0,0,http://business.data.gov.uk/id/company/09828171,,,,,,,,,,,,,,,,,,,,,02/11/2023,19/10/2022
SCALED SALES LIMITED,13600317,,,4 TWINNERS ROAD,,COULSDON,,UNITED KINGDOM,CR5 3LS,Private Limited Company,Active,United Kingdom,,02/09/2021,31,12,30/09/2024,31/12/2022,DORMANT,30/09/2022,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/13600317,,,,,,,,,,,,,,,,,,,,,15/09/2024,01/09/2023
SCALED SOLUTIONS LIMITED,SC192176,,,6 NETTLEHILL ROAD,HOUSTOUN INDUSTRIAL ESTATE,LIVINGSTON,WEST LOTHIAN,,EH54 5DL,Private Limited Company,Active,United Kingdom,,23/12/1998,31,1,31/10/2023,31/01/2022,FULL,20/01/2017,23/12/2015,6,6,0,0,"74909 - Other professional, scientific and technical activities n.e.c.",,,,0,0,http://business.data.gov.uk/id/company/SC192176,,,,,,,,,,,,,,,,,,,,,06/01/2024,23/12/2022
SCALED TRADER LIMITED,14748110,,,735 HIGH ROAD,,ILFORD,,ENGLAND,IG3 8RL,Private Limited Company,Active,United Kingdom,,22/03/2023,31,3,22/12/2024,,NO ACCOUNTS FILED,19/04/2024,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14748110,,,,,,,,,,,,,,,,,,,,,04/04/2024,
SCALED UP FISH LIMITED,11825610,,,10 YOXWOOD VIEW,YOXFORD,SAXMUNDHAM,,ENGLAND,IP17 3JT,Private Limited Company,Active,United Kingdom,,13/02/2019,28,2,30/11/2023,28/02/2022,MICRO ENTITY,12/03/2020,,0,0,0,0,"46380 - Wholesale of other food, including fish, crustaceans and molluscs",,,,0,0,http://business.data.gov.uk/id/company/11825610,,,,,,,,,,,,,,,,,,,,,26/02/2024,12/02/2023
SCALEDBRACERS LTD,12257988,,,UNIT 4E CENTRAL PARK HALESOWEN ROAD,NETHERTON,DUDLEY,,UNITED KINGDOM,DY2 9NW,Private Limited Company,Active,United Kingdom,,12/10/2019,5,4,05/01/2024,05/04/2022,MICRO ENTITY,09/11/2020,,0,0,0,0,52103 - Operation of warehousing and storage facilities for land transport activities,,,,0,0,http://business.data.gov.uk/id/company/12257988,,,,,,,,,,,,,,,,,,,,,25/10/2023,11/10/2022
SCALEDCRAFTINGS LTD,14824264,,,INTERNATIONAL HOUSE,776 - 778 BARKING ROAD,LONDON,,UNITED KINGDOM,E13 9PJ,Private Limited Company,Active,United Kingdom,,24/04/2023,30,4,24/01/2025,,NO ACCOUNTS FILED,22/05/2024,,0,0,0,0,"47990 - Other retail sale not in stores, stalls or markets",,,,0,0,http://business.data.gov.uk/id/company/14824264,,,,,,,,,,,,,,,,,,,,,07/05/2024,
SCALEDDRAPE LTD,12059341,,,OFFICE 2,"CROWN HOUSE, CHURCH ROW",PERSHORE,,UNITED KINGDOM,WR10 1BH,Private Limited Company,Active,United Kingdom,,19/06/2019,5,4,05/01/2024,05/04/2022,MICRO ENTITY,17/07/2020,,0,0,0,0,56210 - Event catering activities,,,,0,0,http://business.data.gov.uk/id/company/12059341,,,,,,,,,,,,,,,,,,,,,10/06/2024,27/05/2023
SCALEDHOST LTD,15083961,,,86-90 PAUL STREET,,LONDON,ENGLAND,UNITED KINGDOM,EC2A 4NE,Private Limited Company,Active,United Kingdom,,20/08/2023,31,8,20/05/2025,,NO ACCOUNTS FILED,17/09/2024,,0,0,0,0,"63110 - Data processing, hosting and related activities",,,,0,0,http://business.data.gov.uk/id/company/15083961,,,,,,,,,,,,,,,,,,,,,02/09/2024,
SCALEDIQ CONSULTING LIMITED,12126353,,,37 HOLLYTREES,BAR HILL,CAMBRIDGE,,ENGLAND,CB23 8SF,Private Limited Company,Active,United Kingdom,,29/07/2019,31,7,30/04/2024,31/07/2022,MICRO ENTITY,26/08/2020,,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/12126353,,,,,,,,,,,,,,,,,,,,,05/08/2024,22/07/2023
SCALEDMODZ LIMITED,12779121,,,29 DIGGLE STREET,,WIGAN,,ENGLAND,WN6 7LR,Private Limited Company,Active,United Kingdom,,29/07/2020,31,7,30/04/2025,31/07/2023,MICRO ENTITY,26/08/2021,,0,0,0,0,74100 - specialised design activities,,,,0,0,http://business.data.gov.uk/id/company/12779121,,,,,,,,,,,,,,,,,,,,,11/08/2024,28/07/2023
SCALEDOCK LTD,11925325,,,SUITE 1 FIELDEN HOUSE,41 ROCHDALE ROAD,TODMORDEN,YORKSHIRE,,OL14 6LD,Private Limited Company,Active,United Kingdom,,04/04/2019,5,4,05/01/2024,05/04/2022,MICRO ENTITY,02/05/2020,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/11925325,,,,,,,,,,,,,,,,,,,,,17/04/2024,03/04/2023
SCALEDOCTOR LIMITED,09321215,,,4 KNOWLE TERRACE,,WALKHAMPTON,,UNITED KINGDOM,PL20 6JT,Private Limited Company,Active,United Kingdom,,20/11/2014,30,11,31/08/2024,30/11/2022,MICRO ENTITY,18/12/2016,20/11/2015,0,0,0,0,86900 - Other human health activities,,,,0,0,http://business.data.gov.uk/id/company/09321215,,,,,,,,,,,,,,,,,,,,,04/12/2023,20/11/2022
SCALEE LTD,14532057,,,3 NORFOLK AVENUE,,LONDON,,ENGLAND,N15 6JX,Private Limited Company,Active,United Kingdom,,09/12/2022,31,12,09/09/2024,,NO ACCOUNTS FILED,06/01/2024,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,,,,0,0,http://business.data.gov.uk/id/company/14532057,,,,,,,,,,,,,,,,,,,,,22/12/2023,
SCALEFEN (BVI) LTD,OE011649,,,ABBOTT BUILDING 87 MAIN STREET,WATERFRONT DRIVE,ROAD TOWN,TORTOLA,"VIRGIN ISLANDS, BRITISH",VG 1110,Overseas Entity,Active,"VIRGIN ISLANDS, BRITISH",,09/01/2023,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/OE011649,,,,,,,,,,,,,,,,,,,,,22/01/2024,
SCALEFEN LIMITED,03617022,,,15 STATION APPROACH,,VIRGINIA WATER,SURREY,,GU25 4DW,Private Limited Company,Active,United Kingdom,,18/08/1998,31,3,31/12/2023,31/03/2022,UNAUDITED ABRIDGED,15/09/2016,18/08/2015,5,0,0,5,68201 - Renting and operating of Housing Association real estate,,,,0,0,http://business.data.gov.uk/id/company/03617022,,,,,,,,,,,,,,,,,,,,,01/09/2024,18/08/2023
SCALEFORCE LIMITED,09383226,,,C/O THE ACCOUNTANCY PARTNERSHIP SUITE 5 5TH FLOOR CITY REACH,5 GREENWICH VIEW PLACE,LONDON,,ENGLAND,E14 9NN,Private Limited Company,Active,United Kingdom,,12/01/2015,30,1,30/10/2023,31/01/2022,MICRO ENTITY,18/07/2017,20/06/2016,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/09383226,,,,,,,,,,,,,,,,,,,,,04/07/2024,20/06/2023
