CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
F.J. CHURCH & SONS LIMITED,00322723,,,CENTENARY WORKS,MANOR WAY,RAINHAM,ESSEX,,RM13 8RH,Private Limited Company,Active,United Kingdom,,04/01/1937,30,3,30/12/2023,31/03/2022,FULL,03/11/2016,06/10/2015,25,6,0,19,38320 - Recovery of sorted materials,,,,0,0,http://business.data.gov.uk/id/company/00322723,30/03/2007,F.J. CHURCH (HOLDINGS) LIMITED,,,,,,,,,,,,,,,,,,,20/10/2023,06/10/2022
F.J. CREW BUILDING CONTRACTORS LTD,04481259,,,7 SOUNDWELL RD,STAPLE HILL,BRISTOL,,,BS16 4QG,Private Limited Company,Active,United Kingdom,,09/07/2002,31,10,31/07/2024,31/10/2022,TOTAL EXEMPTION FULL,06/08/2016,09/07/2015,1,1,0,0,43999 - Other specialised construction activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/04481259,,,,,,,,,,,,,,,,,,,,,23/07/2024,09/07/2023
F.J. DAKIN & SON LIMITED,01482283,,,"HALLFIELD HOUSE MARSHALL COURT, THE BOWLEY",DISEWORTH,DERBY,LEICESTERSHIRE,ENGLAND,DE74 2BD,Private Limited Company,Active,United Kingdom,,29/02/1980,31,3,31/12/2023,31/03/2022,TOTAL EXEMPTION FULL,21/02/2017,24/01/2016,5,5,0,0,01500 - Mixed farming,,,,0,0,http://business.data.gov.uk/id/company/01482283,,,,,,,,,,,,,,,,,,,,,07/02/2024,24/01/2023
F.J. DEVELOPMENTS LIMITED,05888681,,,WESSEX HOUSE FIRST FLOOR,HIGH STREET,HONITON,DEVON,,EX14 1PD,Private Limited Company,Active,United Kingdom,,27/07/2006,31,7,30/04/2024,31/07/2022,MICRO ENTITY,24/08/2016,27/07/2015,7,5,0,2,68100 - Buying and selling of own real estate,,,,0,0,http://business.data.gov.uk/id/company/05888681,,,,,,,,,,,,,,,,,,,,,10/08/2024,27/07/2023
F.J. ESPOSITO LIMITED,SC074183,,,61 LORNE STREET,DUNDEE,TAYSIDE,,,DD2 3HE,Private Limited Company,Active,United Kingdom,,12/03/1981,18,6,18/03/2024,18/06/2022,TOTAL EXEMPTION FULL,28/09/2016,31/08/2015,2,0,0,1,56102 - Unlicensed restaurants and cafes,,,,0,0,http://business.data.gov.uk/id/company/SC074183,,,,,,,,,,,,,,,,,,,,,14/09/2024,31/08/2023
F.J. FULLICK LIMITED,01207497,,,319 CHERITON RD,FOLKESTONE,KENT,,,CT19 4BQ,Private Limited Company,Active,United Kingdom,,14/04/1975,30,4,31/01/2024,30/04/2022,TOTAL EXEMPTION FULL,19/09/2016,22/08/2015,2,2,0,0,47540 - Retail sale of electrical household appliances in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/01207497,,,,,,,,,,,,,,,,,,,,,28/09/2024,14/09/2023
F.J. GIBB LIMITED,03606595,,,4 KING EDWARDS COURT,KING EDWARDS SQUARE,SUTTON COLDFIELD,WEST MIDLANDS,,B73 6AP,Private Limited Company,Active,United Kingdom,,30/07/1998,31,12,30/09/2024,30/12/2022,DORMANT,16/04/2017,19/03/2016,3,1,0,2,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id/company/03606595,,,,,,,,,,,,,,,,,,,,,02/04/2024,19/03/2023
F.J. GIBSON (GROUP) LIMITED,00367463,,,41 TREVITHICK ROAD,,TRURO,,ENGLAND,TR1 1RX,Private Limited Company,Active,United Kingdom,,05/06/1941,30,6,31/03/2024,30/06/2022,UNAUDITED ABRIDGED,28/10/2016,30/09/2015,4,0,0,4,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/00367463,,,,,,,,,,,,,,,,,,,,,26/09/2024,12/09/2023
F.J. HAMER ELECTRICAL CONTRACTORS LIMITED,04569705,,,PRETORIA,"GLOUCESTER ROAD, UPLEADON",NEWENT,GLOUCESTERSHIRE,,GL18 1EH,Private Limited Company,Active,United Kingdom,,22/10/2002,31,10,31/07/2024,31/10/2022,TOTAL EXEMPTION FULL,19/11/2016,22/10/2015,0,0,0,0,43210 - Electrical installation,,,,0,0,http://business.data.gov.uk/id/company/04569705,,,,,,,,,,,,,,,,,,,,,05/11/2023,22/10/2022
F.J. HARRIS & SON PICTURES (BATH) LIMITED,00809499,,,13 GREEN STREET,BATH,,,,BA1 2JZ,Private Limited Company,Active,United Kingdom,,18/06/1964,31,12,30/09/2024,31/12/2022,MICRO ENTITY,13/06/2017,16/05/2016,1,1,0,0,47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),,,,0,0,http://business.data.gov.uk/id/company/00809499,,,,,,,,,,,,,,,,,,,,,19/08/2024,05/08/2023
